"Izdatkovna struktura BDP, Slovenija, letno"

"TRANSAKCIJE";"MERITVE";"2020"
"Domaèa potrošnja";"Tekoèe cene (% od BDP)";90.8
"..Konèna potrošnja";"Tekoèe cene (% od BDP)";70.8
"....Konèna potrošnja gospodinjstev";"Tekoèe cene (% od BDP)";49.4
"....Konèna potrošnja NPISG";"Tekoèe cene (% od BDP)";0.9
"....Konèna potrošnja države";"Tekoèe cene (% od BDP)";20.6
"......Individualna konèna potrošnja države";"Tekoèe cene (% od BDP)";12.6
"......Kolektivna konèna potrošnja države";"Tekoèe cene (% od BDP)";8.0
"....od tega: dejanska individualna potrošnja";"Tekoèe cene (% od BDP)";62.8
"..Bruto investicije";"Tekoèe cene (% od BDP)";20.0
"....Bruto investicije v osnovna sredstva";"Tekoèe cene (% od BDP)";18.9
"....Spremembe zalog";"Tekoèe cene (% od BDP)";1.1
"....Vrednostni predmeti";"Tekoèe cene (% od BDP)";0.0
"Saldo menjave s tujino";"Tekoèe cene (% od BDP)";9.2
"..Izvoz blaga in storitev";"Tekoèe cene (% od BDP)";77.9
"....Izvoz blaga (fob)";"Tekoèe cene (% od BDP)";63.2
"....Izvoz storitev";"Tekoèe cene (% od BDP)";14.7
"..Minus: uvoz blaga in storitev";"Tekoèe cene (% od BDP)";68.7
"....Uvoz blaga (fob)";"Tekoèe cene (% od BDP)";58.2
"....Uvoz storitev";"Tekoèe cene (% od BDP)";10.5
"Bruto domaèi proizvod";"Tekoèe cene (% od BDP)";100.0
